,bd,bde,w,we,a,isanim,Item,Group,bd_f,bd_pasture_per_kg,kg_m2_tb,kg_m2_wwf,t_est,LQ,MQ,HQ
13,7.825022097830834e-13,4.073510408018076e-14,1646.6666666666667,85.72134009771517,SWE,False,Pears,Temperate fruit,,,,,1.2885203054428107e-09,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
11,3.09874530781101e-11,7.879050010803363e-13,20697.333333333332,526.2624327729922,SYR,False,Pears,Temperate fruit,,,,,6.413576455086707e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
10,2.724612448541281e-10,1.1903413087727066e-11,111210.83333333333,4858.170920193609,TWN,False,Pears,Temperate fruit,,,,,3.0300642091264965e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
9,1.3215724953770973e-10,1.949942735695619e-12,5170.166666666667,76.28434260007703,TZA,False,Pears,Temperate fruit,,,,,6.832750063182156e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
8,4.660948356967013e-11,3.699864571706523e-12,19166.666666666668,1521.4515486254613,TUN,False,Pears,Temperate fruit,,,,,8.933484350853442e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
7,9.418366440401933e-12,2.259780587531793e-13,505770.0,12135.111060243515,TUR,False,Pears,Temperate fruit,,,,,4.7635271945620855e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
6,3.5575332860322617e-12,9.507170639398427e-14,163801.66666666666,4377.444343618944,UKR,False,Pears,Temperate fruit,,,,,5.827298814742278e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
5,4.123851441283578e-12,7.43521436487746e-14,26019.166666666668,469.0921146609022,GBR,False,Pears,Temperate fruit,,,,,1.0729917795933098e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
4,5.927315068060465e-12,1.641925969175256e-13,680735.1666666666,18836.05266417549,USA,False,Pears,Temperate fruit,,,,,4.034931810741985e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
3,7.793014834609255e-11,9.019020209183874e-12,9884.5,1143.9540042715394,URY,False,Pears,Temperate fruit,,,,,7.703005513269518e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
2,1.4506632669670831e-11,2.7286445989398966e-13,101424.83333333333,1907.7640550693934,UZB,False,Pears,Temperate fruit,,,,,1.4713328007492525e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
1,6.388096640529227e-11,3.525410063182503e-12,801.5,44.23218410966286,YEM,False,Pears,Temperate fruit,,,,,5.120059457384175e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
0,1.4588142206680933e-10,1.102182423446813e-12,168.0,1.2692955176439846,ZWE,False,Pears,Temperate fruit,,,,,2.4508078907223967e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
12,7.739365325941272e-13,6.720491740256187e-14,40995.333333333336,3559.837111337998,CHE,False,Pears,Temperate fruit,,,,,3.172778613254045e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
26,2.322928148412651e-11,6.084078731375697e-13,15490.333333333334,405.7138199565104,PAK,False,Pears,Temperate fruit,,,,,3.598293132829477e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
59,7.679769967261998e-12,1.7602604473082532e-13,277715.0,6365.434540460604,GRC,False,Apples,Temperate fruit,,,,,2.132787316458166e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
56,1.710869756544482e-12,1.1533175849454036e-13,509675.0,34357.79596070996,HUN,False,Apples,Temperate fruit,,,,,8.719875431668088e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
25,1.3217650641708366e-10,2.867227030695625e-12,148711.0,3225.8912463586453,PER,False,Apples,Temperate fruit,,,,,1.965610044579093e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
24,1.5049556202718348e-12,9.126009997403812e-14,3308150.3333333335,200605.33751438235,POL,False,Apples,Temperate fruit,,,,,4.978619436854144e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
23,8.551826649484175e-12,5.013314325966467e-13,302787.6666666667,17750.23989300593,PRT,False,Apples,Temperate fruit,,,,,2.5893876369351313e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
22,4.7759176310483115e-12,3.382652383285892e-13,492819.0,34905.02754777757,ROU,False,Apples,Temperate fruit,,,,,2.3536629510155977e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
21,2.5311116113565733e-12,1.1128636692960832e-13,1776383.3333333333,78102.93569908122,RUS,False,Apples,Temperate fruit,,,,,4.496224481220294e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
20,2.3673058820560614e-12,9.639828084372442e-14,443380.6666666667,18054.757667327634,SRB,False,Apples,Temperate fruit,,,,,1.049617660189938e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
19,1.7233530920647593e-12,1.8564518669164587e-13,77032.33333333333,8298.172886802207,SVN,False,Apples,Temperate fruit,,,,,1.3275390983896322e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
18,2.482135380916159e-12,2.566829126372618e-13,34500.0,3567.718567625224,SVK,False,Apples,Temperate fruit,,,,,8.563367064160748e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
17,4.5500643310801245e-11,9.961354995273233e-13,915689.3333333334,20046.965922645344,ZAF,False,Apples,Temperate fruit,,,,,4.1664453739505386e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
16,7.984251635284673e-12,3.5568976191230825e-13,522884.3333333333,23293.93066834109,KOR,False,Apples,Temperate fruit,,,,,4.174840093481403e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
15,8.868295126645779e-12,2.344217953268722e-13,587615.0,15532.834725545468,ESP,False,Apples,Temperate fruit,,,,,5.211143240843959e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
14,6.239369353766098e-13,3.160212551485934e-14,25990.0,1316.3818257295682,SWE,False,Apples,Temperate fruit,,,,,1.621612095043809e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
13,7.460006349104735e-13,6.604459884183667e-14,211345.0,18710.702228641472,CHE,False,Apples,Temperate fruit,,,,,1.5766350418515402e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
12,2.409994668143124e-11,2.3156486080776026e-12,349770.5,33607.774414519365,SYR,False,Apples,Temperate fruit,,,,,8.429450400737546e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
11,8.151934288530021e-10,4.792789978103533e-11,1348.5,79.27860507237891,TWN,False,Apples,Temperate fruit,,,,,1.0992883388082734e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
10,6.32685571220985e-11,3.2229227714742916e-13,234035.5,1192.1851494443117,TJK,False,Apples,Temperate fruit,,,,,1.4807088400348882e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
9,4.014960216892993e-11,2.994434875307923e-12,120550.0,8990.851832093924,TUN,False,Apples,Temperate fruit,,,,,4.840034541464503e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
8,9.538008914021073e-12,6.620703697322705e-13,3345491.5,232223.6028789865,TUR,False,Apples,Temperate fruit,,,,,3.190932774878173e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
7,3.1843083692908745e-11,2.8356763771581687e-13,64375.833333333336,573.2768584911496,TKM,False,Apples,Temperate fruit,,,,,2.049925048634078e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
6,3.740172653905701e-12,1.685609043290238e-13,1180981.6666666667,53224.10384489901,UKR,False,Apples,Temperate fruit,,,,,4.417075334430644e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
5,2.174563287628022e-12,8.136036806483427e-14,526205.3333333334,19687.479686997165,GBR,False,Apples,Temperate fruit,,,,,1.1442667996207326e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
4,5.561969624505037e-12,1.3095434068087147e-13,4889250.0,114937.959621702,USA,False,Apples,Temperate fruit,,,,,2.719385998661125e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
3,6.167914968995783e-11,3.5343188736244713e-12,44018.833333333336,2522.3530836708223,URY,False,Apples,Temperate fruit,,,,,2.7150442103439724e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
98,1.372757248741876e-10,3.0143699208981743e-12,58707.666666666664,546.874841798919,BOL,False,Watermelons,Temperate fruit,,,,,8.059137497338848e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
2,2.0546208153610352e-11,9.769643032480892e-13,1155528.1666666667,54944.920337156575,UZB,False,Apples,Temperate fruit,,,,,2.374172223969309e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
26,6.587528726700472e-11,8.54399201412183e-13,657.6666666666666,8.529903824736786,PRY,False,Apples,Temperate fruit,,,,,4.3323980592600104e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
27,2.989289360114121e-11,8.344990782374589e-13,604670.8333333334,16880.173892299194,PAK,False,Apples,Temperate fruit,,,,,1.8075360884546722e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
28,3.747661909954811e-12,2.6550486724457056e-14,798179.0,5654.736593727815,PRK,False,Apples,Temperate fruit,,,,,2.991305035625821e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
29,9.965383724106723e-12,2.8777205974737195e-13,526623.0,15207.338314481965,NZL,False,Apples,Temperate fruit,,,,,5.2480002729402546e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
55,2.3636754918350733e-11,7.857556905796863e-13,2382833.3333333335,79196.45638350055,IND,False,Apples,Temperate fruit,,,,,5.632244751127674e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
54,8.90650702997275e-12,3.020158051891162e-13,2230020.6666666665,75618.18287241453,IRN,False,Apples,Temperate fruit,,,,,1.9861694744651184e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
53,1.4780966444388362e-11,1.6123423084356647e-12,56552.666666666664,6168.896833968627,IRQ,False,Apples,Temperate fruit,,,,,8.359030683406802e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
52,8.768304480715316e-13,1.8425494822914747e-14,20243.166666666668,425.3848203337425,IRL,False,Apples,Temperate fruit,,,,,1.7749824898720026e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
51,2.218190851095682e-11,5.183500912619009e-13,897.8333333333334,20.980701008660674,PSE,False,Apples,Temperate fruit,,,,,1.99156568580874e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
50,8.822634704280196e-13,1.5059106681110793e-14,106666.66666666667,1820.6632897971042,ISR,False,Apples,Temperate fruit,,,,,9.41081035123221e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
49,3.194996159523122e-12,1.1082978867127351e-13,2347269.3333333335,81423.21973991705,ITA,False,Apples,Temperate fruit,,,,,7.4995165053664e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
48,1.0708907376104247e-11,2.060754002502606e-13,748300.8333333334,14399.653758215212,JPN,False,Apples,Temperate fruit,,,,,8.013484313628289e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
47,4.042612358922476e-11,7.640103124083811e-12,33856.833333333336,6398.577825565211,JOR,False,Apples,Temperate fruit,,,,,1.368700528673118e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
46,6.5254399003008135e-12,4.648167667327133e-13,202477.83333333334,14422.796510726164,KAZ,False,Apples,Temperate fruit,,,,,1.3212569325597914e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
45,3.100221139985731e-10,6.020709448580535e-11,384.1666666666667,74.60615727742386,KEN,False,Apples,Temperate fruit,,,,,1.1910016212778517e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
44,2.0588405989265432e-11,2.377390336547728e-13,135976.0,1570.145976936186,KGZ,False,Apples,Temperate fruit,,,,,2.7995290927963564e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
57,1.2144842993273393e-09,4.962701035053354e-12,186.16666666666666,0.7607257743127308,HND,False,Apples,Temperate fruit,,,,,2.2609649372477298e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
43,3.435489349566198e-12,3.429509249177554e-13,10553.833333333334,1053.5462447442992,LVA,False,Apples,Temperate fruit,,,,,3.625758201376339e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
41,4.1515554059427973e-13,1.0331762247251855e-14,16091.333333333334,400.4567299878885,LBY,False,Apples,Temperate fruit,,,,,6.6804061888827535e-09,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
40,3.2799731959768056e-12,3.821000031138076e-13,65193.166666666664,7594.668522561903,LTU,False,Apples,Temperate fruit,,,,,2.138318392275152e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
39,4.408595681555522e-12,4.751200382724194e-13,1873.6666666666667,201.9274713943195,LUX,False,Apples,Temperate fruit,,,,,8.260238775341198e-09,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
38,1.0012689119149978e-11,1.291202536165602e-12,102696.0,13243.32894747809,MKD,False,Apples,Temperate fruit,,,,,1.028263121780226e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
37,1.1387445060206714e-08,9.108474544550186e-12,7117.0,5.691123692987959,MDG,False,Apples,Temperate fruit,,,,,8.104444649349118e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
36,7.133176979442751e-11,2.4837161565676477e-12,3136.3333333333335,109.20258103041203,MWI,False,Apples,Temperate fruit,,,,,2.2372020733192283e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
35,8.376816580120415e-11,1.547578746731261e-12,719463.8333333334,13284.319391290426,MEX,False,Apples,Temperate fruit,,,,,6.026816567863658e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
34,4.174793823162135e-12,4.100289821000709e-13,493843.6666666667,48503.045787905976,MDA,False,Apples,Temperate fruit,,,,,2.0616954892077405e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
33,2.7364438912819894e-11,3.005880035846456e-12,1782.3333333333333,195.78257025285683,MNE,False,Apples,Temperate fruit,,,,,4.8772551622282656e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
32,5.704216681478288e-11,4.713063950835459e-12,697776.1666666666,57653.20429343824,MAR,False,Apples,Temperate fruit,,,,,3.980266449837974e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
31,1.5600379855193832e-10,1.649647690190103e-11,34974.833333333336,3698.381293189606,NPL,False,Apples,Temperate fruit,,,,,5.456206853720951e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
30,4.573734668473089e-13,2.9002420511326174e-14,273683.3333333333,17354.48095620435,NLD,False,Apples,Temperate fruit,,,,,1.251754949849943e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
42,2.014651781589275e-11,1.3444092470332031e-12,274582.8333333333,18323.35014767385,LBN,False,Apples,Temperate fruit,,,,,5.5318879436883095e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
62,2.9105604988350763e-11,3.306976756697992e-12,81840.16666666667,9298.673882204528,ARM,False,Apricots,Temperate fruit,,,,,2.3820075631807914e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
27,3.934080544405683e-12,2.1195182218278166e-14,148025.33333333334,797.4986473923279,PRK,False,Pears,Temperate fruit,,,,,5.823435839458327e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
29,4.780944603174193e-13,1.3556103063237752e-14,371366.6666666667,10529.895711910147,NLD,False,Pears,Temperate fruit,,,,,1.7754834607987897e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
30,3.042164962188184e-12,3.025260807416682e-15,25962.0,25.817737227641693,LBY,False,Apricots,Temperate fruit,,,,,7.898068674832964e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
29,9.144746426416588e-12,8.84617047117984e-13,4021.0,388.9714356836216,MKD,False,Apricots,Temperate fruit,,,,,3.67710253806211e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
28,2.114464765177177e-09,6.056624561468129e-12,1436.3333333333333,4.114113018127472,MDG,False,Apricots,Temperate fruit,,,,,3.037076224382818e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
27,2.0625033406748877e-10,8.89900270333042e-12,968.1666666666666,41.76881922270798,MEX,False,Apricots,Temperate fruit,,,,,1.9968469843300705e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
26,1.028755081966241e-11,1.6977722436435082e-12,12782.166666666666,2109.462996655608,MDA,False,Apricots,Temperate fruit,,,,,1.314971891687282e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
25,9.402415524991894e-11,5.366073652528267e-12,98677.33333333333,5631.6362220084,MAR,False,Apricots,Temperate fruit,,,,,9.278052908981334e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
24,1.5363434223222419e-10,1.4854273604321654e-11,2082.1666666666665,201.3161439497956,NPL,False,Apricots,Temperate fruit,,,,,3.198923062511961e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
23,7.53921609554579e-11,2.2159048972659276e-12,3016.3333333333335,88.65496998873614,NZL,False,Apricots,Temperate fruit,,,,,2.2740788816197952e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
22,3.436954652366483e-11,3.4436761760914502e-12,130002.16666666667,13025.640682508283,PAK,False,Apricots,Temperate fruit,,,,,4.468115515427229e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
21,4.941620230915354e-10,6.676271748442298e-11,326.0,44.043539064581694,PER,False,Apricots,Temperate fruit,,,,,1.6109681952784055e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
20,1.0326187651659972e-11,1.109422888977263e-12,2956.3333333333335,317.621950916028,POL,False,Apricots,Temperate fruit,,,,,3.052765276085743e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
19,2.7257726352473964e-11,2.2846297697657946e-12,3359.6666666666665,281.5933500898322,PRT,False,Apricots,Temperate fruit,,,,,9.157687463552835e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
18,2.9982130957991392e-12,1.0228746268058828e-13,31032.5,1058.709165551249,ROU,False,Apricots,Temperate fruit,,,,,9.304204789538678e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
17,3.941847409520355e-12,1.645400989351285e-13,63783.333333333336,2662.4358799443066,RUS,False,Apricots,Temperate fruit,,,,,2.5142416727057333e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
16,7.436249002532024e-12,6.410367966896344e-13,31897.666666666668,2749.7166992121074,SRB,False,Apricots,Temperate fruit,,,,,2.37198991933099e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
15,5.239227151333075e-12,1.0624263077879435e-12,759.0,153.91231269784757,SVN,False,Apricots,Temperate fruit,,,,,3.976573407861804e-09,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
14,2.3720697141599823e-11,3.2406981366209476e-12,291.5,39.82444112741711,SVK,False,Apricots,Temperate fruit,,,,,6.914583216776348e-09,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
13,2.0642511525423922e-10,2.4856412899123656e-11,29700.166666666668,3576.3069981994513,ZAF,False,Apricots,Temperate fruit,,,,,6.130860327236781e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
12,2.29725692422868e-11,9.61622155100785e-13,151160.66666666666,6327.522367784632,ESP,False,Apricots,Temperate fruit,,,,,3.472548881710234e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
11,3.740316850900686e-12,2.999106410282787e-13,8137.833333333333,652.5176633056963,CHE,False,Apricots,Temperate fruit,,,,,3.043807514648797e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
10,5.319814048134704e-11,2.6496809339392304e-12,41674.666666666664,2075.7223597617326,SYR,False,Apricots,Temperate fruit,,,,,2.217014771846644e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
9,1.2342759638773644e-09,2.003761963471281e-10,18151.666666666668,2946.777803962478,TWN,False,Apricots,Temperate fruit,,,,,2.2404165870980628e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
8,1.2338771834999693e-10,6.014447304376341e-13,31859.333333333332,155.29607326127203,TJK,False,Apricots,Temperate fruit,,,,,3.931050448152002e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
7,4.336413696753938e-11,1.614638168678779e-12,34333.333333333336,1278.381499889317,TUN,False,Apricots,Temperate fruit,,,,,1.4888353692188523e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
6,2.8979554837846406e-11,1.4093041011935857e-12,806850.6666666666,39237.937225390735,TUR,False,Apricots,Temperate fruit,,,,,2.3382173140619596e-05,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
31,4.0846075192727295e-11,1.2093119760578206e-12,35055.166666666664,1037.863066772477,LBN,False,Apricots,Temperate fruit,,,,,1.431865973560254e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
32,3.267944444148953e-11,4.460576954612678e-13,25982.166666666668,354.6432806095183,KGZ,False,Apricots,Temperate fruit,,,,,8.490827720528546e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
33,3.237354330252074e-10,2.7558315323747143e-12,76.66666666666667,0.6526300069150406,KEN,False,Apricots,Temperate fruit,,,,,2.481971653193257e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
34,7.30330393433639e-12,3.352609138969716e-13,19790.5,908.490345756813,KAZ,False,Apricots,Temperate fruit,,,,,1.445360365124843e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
60,5.540381680672877e-12,1.0110606968846885e-12,7135.0,1302.061570484796,AUT,False,Apricots,Temperate fruit,,,,,3.953062329160098e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
59,3.385323584477288e-11,9.961022033162305e-13,27178.833333333332,799.7136785078724,AZE,False,Apricots,Temperate fruit,,,,,9.20091454819108e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
58,1.0707804234957298e-10,2.3406763730975128e-11,19.0,4.153311931459037,BTN,False,Apricots,Temperate fruit,,,,,2.0344828046418864e-09,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
57,4.6995658265693864e-11,2.8664917981636656e-12,960.5,58.585526274745455,BIH,False,Apricots,Temperate fruit,,,,,4.5139329764198955e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
56,9.014803478015e-12,9.986935001057833e-13,15929.0,1764.6739390355126,BGR,False,Apricots,Temperate fruit,,,,,1.4359680460130095e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
55,5.5180216679403445e-11,2.8105935354440864e-13,934.3333333333334,4.7590070548537895,CMR,False,Apricots,Temperate fruit,,,,,5.155671578412262e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
54,1.7297944650039036e-12,9.350144954843732e-14,1033.5,55.86429489794394,CAN,False,Apricots,Temperate fruit,,,,,1.7877425795815343e-09,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
53,3.1088612657088413e-10,1.4492261492796985e-11,6796.833333333333,316.8388493879522,CHL,False,Apricots,Temperate fruit,,,,,2.113041187947871e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
52,1.311156315662701e-10,4.866625007506282e-13,53200.5,196.74218182970097,CHN,False,Apricots,Temperate fruit,,,,,6.975417157141352e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
51,2.0183231429784224e-11,3.2286440024692583e-12,580.3333333333334,92.83398164545216,HRV,False,Apricots,Temperate fruit,,,,,1.1713001973084778e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
50,3.363682382990251e-11,1.3991750922611295e-12,953.5,39.66228967447823,CYP,False,Apricots,Temperate fruit,,,,,3.207271152181204e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
49,2.4956600637391112e-11,5.411625776658768e-12,1626.5,352.69263845765516,CZE,False,Apricots,Temperate fruit,,,,,4.0591910936716645e-08,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
5,2.67026360954796e-11,1.681986161626275e-13,33944.666666666664,213.8158172439628,TKM,False,Apricots,Temperate fruit,,,,,9.064120813823564e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
48,1.2258338225722345e-09,7.018870307016312e-13,356.5,0.20412414523193154,ECU,False,Apricots,Temperate fruit,,,,,4.3700975774700157e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
46,6.011905147726895e-10,9.897750506841567e-11,1133.3333333333333,186.5872847082963,GEO,False,Apricots,Temperate fruit,,,,,6.813492500757148e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
45,7.387971527487818e-12,3.3097759282258526e-14,229.33333333333334,1.0274023338281628,DEU,False,Apricots,Temperate fruit,,,,,1.6943081369705396e-09,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
44,1.587643123678449e-11,6.825144201839704e-13,109298.5,4698.650549478129,GRC,False,Apricots,Temperate fruit,,,,,1.7352701195336897e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
43,7.132212492832957e-12,8.088272134538391e-13,19654.0,2228.8581655686894,HUN,False,Apricots,Temperate fruit,,,,,1.4017650433413893e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
42,6.607065617627351e-11,9.016077374665682e-14,14239.166666666666,16.946675627237774,IND,False,Apricots,Temperate fruit,,,,,9.407910850699878e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
41,2.824954430913281e-11,1.4993972083832005e-12,300053.8333333333,15925.842919287345,IRN,False,Apricots,Temperate fruit,,,,,8.47638405987515e-06,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
40,8.973334245697234e-12,1.6496032240268121e-12,21201.0,3897.4629711019857,IRQ,False,Apricots,Temperate fruit,,,,,1.9024365934302706e-07,3.5963797415882896e-12,1.1421827750164917e-11,5.5351251930900415e-11
