,bd,bde,w,we,a,isanim,Item,Group,bd_f,bd_pasture_per_kg,kg_m2_tb,kg_m2_wwf,t_est,LQ,MQ,HQ
43,2.237930358768285e-12,2.4750766290710487e-13,272745.3333333333,30164.727761508573,AZE,False,Sugar beet,Sugar beet,,,,,6.103850616790421e-07,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
42,5.969184345229135e-13,3.3528686325134096e-14,4388943.0,246525.2949735134,BLR,False,Sugar beet,Sugar beet,,,,,2.6198409847702997e-06,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
41,3.599232809707722e-13,1.772867259509074e-14,4923887.333333333,242534.98187817805,BEL,False,Sugar beet,Sugar beet,,,,,1.7722216841437595e-06,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
40,4.265299147174056e-12,5.733258466695732e-15,1003.5,1.3488678380198873,BIH,False,Sugar beet,Sugar beet,,,,,4.280227694189165e-09,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
23,1.1380306717560185e-12,1.323318048340712e-13,406450.8333333333,47262.67374144014,KAZ,False,Sugar beet,Sugar beet,,,,,4.625535148941268e-07,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
38,2.9412344804021644e-11,2.7248236472412717e-12,1738994.0,161104.1890425434,CHL,False,Sugar beet,Sugar beet,,,,,5.114789114012482e-05,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
37,1.7673200535375306e-12,1.808123862935822e-13,9694060.666666666,991787.6722477411,CHN,False,Sugar beet,Sugar beet,,,,,1.71325078164094e-05,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
36,7.610653626245507e-13,7.808932135150601e-14,913498.3333333334,93729.74833550466,HRV,False,Sugar beet,Sugar beet,,,,,6.952319403152561e-07,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
39,3.2992351137489223e-13,4.011130702951431e-14,905583.3333333334,110098.64369097647,CAN,False,Sugar beet,Sugar beet,,,,,2.987732331759128e-07,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
34,1.1650973660473537e-13,5.98765732540188e-15,2251266.6666666665,115696.88286079149,DNK,False,Sugar beet,Sugar beet,,,,,2.622944863603539e-07,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
35,5.74566101954917e-13,1.9980861487030527e-14,3832645.3333333335,133282.4113251563,CZE,False,Sugar beet,Sugar beet,,,,,2.202108089349037e-06,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
26,3.5740510872543976e-13,1.460821537612554e-13,37553.0,15349.03387296195,IRL,False,Sugar beet,Sugar beet,,,,,1.3421634047966439e-08,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
27,3.970248272835884e-11,1.7311814090167875e-13,31527.833333333332,137.4735159679587,IRQ,False,Sugar beet,Sugar beet,,,,,1.2517332583792427e-06,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
28,2.600378121393628e-12,1.5754478982675717e-13,6357549.666666667,385174.3012862753,IRN,False,Sugar beet,Sugar beet,,,,,1.653203305887335e-05,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
25,2.131869460213655e-12,9.750743020246818e-14,2039240.5,93270.55866246506,ITA,False,Sugar beet,Sugar beet,,,,,4.347394543980824e-06,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
30,1.7673646201625707e-12,4.684653303722111e-13,215312.16666666666,57071.57659486154,GRC,False,Sugar beet,Sugar beet,,,,,3.805351056572134e-07,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
31,4.4075672330604145e-13,2.248980053456538e-14,28039200.0,1430712.1855138363,DEU,False,Sugar beet,Sugar beet,,,,,1.2358465916122758e-05,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
32,1.7244598789782474e-13,7.140457802829428e-15,424783.3333333333,17588.970923511934,FIN,False,Sugar beet,Sugar beet,,,,,7.325218155919765e-08,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
33,3.0691879362295324e-13,9.685454888858911e-15,11620196.666666666,366699.2473318691,EGY,False,Sugar beet,Sugar beet,,,,,3.5664567425947955e-06,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
29,4.648648348269511e-13,2.4773023689011723e-14,944971.1666666666,50358.27910274353,HUN,False,Sugar beet,Sugar beet,,,,,4.392838653087312e-07,3.1262584059548037e-13,7.553842750795709e-13,3.2034023546334845e-12
58,1.6271179914925658e-11,4.689818606444309e-13,168376.66666666666,4852.9349348081605,MWI,False,Onions; dry,Vegetables,,,,,2.739687036808799e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
57,9.069631129575682e-12,1.9954180899642427e-13,83024.5,1826.6298468004466,MLI,False,Onions; dry,Vegetables,,,,,7.530015897174563e-07,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
